label,text
0,geceden beri merkez sarıçam mehmet akif ersoy mahallesinde su yok. yıl 2023 pazar günü herkes evde su yok kesik. 
0,Üç gündür su yok. İşe giderken yüzümüzü yıkamadan çıkıyoruz evden. WC yi kullanamıyoruz. Bulaşıklar dağ oldu. 
0,Mahallede 4 gündür su kesintisi yaşamaktayız. Acilen hizmet bekliyoruz.
0,Çoğu kişiye önceden bilgi verilmeden sular kesildi. Üç gündür su gelmiyor ve insanlar herhangi bir hazırlık yapamadan su kesintisiyle karşı karşıya kaldılar. Elimizi yıkayacak su bile bulamıyoruz.
0,Mahallede öğlen saat 14.00 den gece 23.00 kadar su kesintisi var ve hala da yok saat 20.00 geleceği söylendi. Ama sular kesik ne zaman bu sorun çözülecek bu saatte kadar mağduruz. Beyaz masayı saatlerdir arıyoruz hep meşgul çalıyor ve bu yüzden şikayetlerimizi dile getiremiyoruz.
0,"Turgut Reis Mahallesi'nde öğlenden beri su yok. Hiçbir bilgi de verilmedi, bir anda kesildi sular. Lavaboda bile su yok."
0,Adıyaman Belediyesi aylardır su sorununa bir çözüm bulamadı. Sular hiç akmıyor. Pislik içinde yaşıyoruz Yeter artık. Ne zaman arasak şikayet kaydı alıyorlar. Başka bir şey yok. 
0,2 hafta oldu. Adıyaman Altınşehir mahallesine geldim ve 2 haftadan beri su kesintisi yaşıyoruz. Belediyeye sorunumuzu anlatıyoruz umursamıyorlar. Çözüm yok suyun ne zaman geleceği belli değil en az 10 defa aradım her defasında cevap aynı birkaç saat içinde gelir bunu diye diye 15 gün geçti. 
0,"Su yok, temizlik yapamıyoruz duş alamıyoruz. Suya para verip bulaşık yıkamaya çalışıyoruz. Bu ilgisizlik umursamazlık nedir birileri artık baksın bu işin çaresine nerede bu belediye başkanı nerede bu devlet yetkilileri bezdik artık."
0,Su bir zorunluluk. Ben evimde su kullanamıyorum. Bu benim yaşam hakkım. Bir evde su olmaz mı ya. 
0, Ben aylarca evimde susuz nasıl yaşayacağım? Lütfen yardımcı olun. Her türlü makama durumu bildirdim ama sonuç alamadım.
0, 15 gün boyunca evde susuz ve feci durumdayız. 
0," Ev sahibi bizi çıkartmak için ve bizden sonra yüksek kira almak için buna susuluyor. Her yere şikayet ediyorum. Bu konuda destek bekliyorum. Evimde suyum yok, bu sıcaklıkta kim 15 gün boyunca susuz bırakılır? Zaruri ihtiyaçtan bahsediyorum."
0,"Ben evime suyumu istiyorum. Bunun için acil yardım bekliyorum. Artık susuz dayanacak halimiz kalmadı. Yaşadığımız depremler, hayat şartları, hava koşulları yeterince stresler yaşıyoruz. Bir de bu üzerine geldi. Susuzluk çamaşır, bulaşık, banyo, ev temizliği, her şey buna bağlı. Yardımlarınızı bekliyoruz."
0,Mahallede10 gündür sular çok az akıyor. Ne bir çamaşır makinesini çalıştırabiliyor ne de bir bulaşık. Sıcak su desen zaten hiç yok. Kaç kez aradık boş ekipler ilgileniyor denilip telefonu kapatıyorlar. Ne olacak bu sorunlara kim çare bulacak. 
0,Depremin üzerinden 6 ay geçmiş Adıyaman Belediyesi hala su sorununu çözmüş durumda değil yeni mahallede bir gün dahi su gelmiyor bu sıcakta çok mağdur olduk. Daha ne kadar sürecek deprem de ölmedik susuzluk mı ölmemizi bekliyorsunuz el insaf yahu yeter artık ilgililerin derhal bu konuyu ele almasını istiyorum
0,"Caddede her gün sabah 12 ile 5 arasında istisnasız su kesintisi yaşıyoruz. Gelen su da ihtiyaçlarımızı karşılayabilecek bir tazyikte gelmiyor. Defalarca belediyeyi arayıp durumu izah etmemize ve onların da bu durumu çözeceklerini iddia etmelerine rağmen bir ilerleme göremedik, aksine daha kötüleşti durumlar."
0,Mahallede sürekli sular kesik. Bu yaz günlerinde kokmaya devam ediyoruz. Çocuğum oldu ve banyo yaptıramıyoruz. Belediye ilgilenmiyor Ve bizleri mağdur ediyorlar. Bir bilgi dahi vermiyorlar.
0,Adıyaman'da yaşıyorum ve sürekli suları kesiyorlar kötü haldeyiz sabah kesip gece yarısına kadar bırakmıyorsunuz bu nasıl bir sorumsuzluk ya deprem bölgesi daha fazla suya ihtiyaç oluyor çadırda kalanlar var ya bırakın şu suları artık Adıyaman Bahçelievler'de sürekli bu sorunu yaşıyoruz bırakın artık şu suları ne temizlik yapabiliyoruz ne ihtiyaçlarımızı karşılayabiliyoruz yeter.
0,6 Şubat Kahramanmaraş merkezde deprem sonucu Adıyaman ilinde meydana gelen Çeşme suyunun içilememesi sebebiyle belediyemizin dağıttığı içme sularının dağıtılması sırasında izdiham yaşanıyor. Bazı vatandaşlar 3-4 koli su alırken bazılarına su yetmiyor bu durum karşısında belediyemizin bir önlem almasını istiyorum. Gereğinin yapılmasını arz ederim.
0,"Adıyamanda mahallede her gün sular kesik ve sıcaklarda mağduruz. Her gün olması çok kötü bir durum. Geceye kadar sular gelmiyor, bıktık artık bu durumdan. Kimse ilgilenmiyor, belediyeyi arıyoruz umursamıyorlar ve çözüm üretmek yerine su kesmeye devam ediyorlar."
0,10 gündür sular da gelmiyor.
0,Köyde mezradaki yol ayrımında 10 gündür sularımız gelmiyor. Gerenin yapılmasını istiyoruz. Adıyaman Belediyesi sadece yiyor içiyor hiçbir hizmet yoktur. Bu su sorununu çözün.
0,Adıyaman Belediyesi SMS le sorun çözüyor. İki aydır binanın bodrumunda su deposunun olduğu yerde lağım suyu birikmiş.
0,"Adıyaman'da açıklama yapılmaksızın sürekli su kesintileri oluyor. Hava aşırı sıcak, iş dönüşü ve suya en çok ihtiyacımız olan saatlerde (muhtemelen 16:00'da başlıyor kesinti) sular kesiliyor. Bu durum yaklaşık 1 aydır böyle. Kimse de açıklama yapmıyor. Belediye yetkililerine de hiçbir şekilde ulaşamıyoruz!"
0,Her gün öğlen vakitlerinde Adıyaman Bahçelievler'de su kesintisi yaşıyoruz. Kimse ilgilenmiyor yaz ayında çok mağdur oluyor. Artık bakın şu suya ne sıkıntısı varsa çözülsün yazın en çok ihtiyacımız su sürekli arayıp arıza iletmekten sıkıldık bıktık her gün aynı sorunu yaşamaktan
0,Sular kişilere özel getiriliyor. Bununla ilgili şikayette bulunuyorum ancak karşılaştığım tavır ortada. Her türlü işlemi başlatacağım. Valiliğe de birebir gideceğim.
0,"Adıyaman Belediyesi işyerimizin suyunu 40 gündür açmadı. Depremzedeyiz, işyerimizde su yok. Ana hatları kapandı, deprem sebebinden dolayı 20 oldu. Şikayetimi belirtmeme rağmen asla gelmediler. Bu kadar sorumsuzluk olmaz. Bir işyerinin suyu bu kadar ertelenemez. Ayıptır, böyle hizmet olmaz."
0,"Her gün su kesintisi olup üstüne iki üç gün bir Damla Su gelmemesinden bıktık. Her gün arıza mı okur yeter, illallah ettik."
0,Tek yaptığınız şey su borularıyla uğraşmak sanırım. Bu yaz günlerinde bizleri bu kadar mağdur edip çözüm bile sunamayan belediyeye yazıklar olsun.
0,"Bu nasıl bir memleket? Durdunuz durdunuz, mübarek Ramazan ayını mı buldunuz altyapı çalışmaları için? Böyle bir durumla karşılaşmadım. Bugün pazar, sular kesik; hafta içi işten geliyorum, yine sular kesik. İnanılır gibi değil... Tepkimi belirtmek istiyorum. Gerekirse 24 saat çalışın! İnsanları mağdur etmeye hakkınız yok. Düzensiz bir durum söz konusu."
0,Adıyaman turgut reis mahallesinde oturuyorum evi yeni onardık daha dün geçtik fakat iki gündür su yok yetkililere ulaşamıyoruz hiçbir şekilde çok zor durumdayız. İnternetten Adıyaman Belediyesi diye yazan tüm numaralar açmıyor ne yapacağımızı bilemiyoruz.
0,"Adıyaman'da yaşıyorum. Bir haftadır suyumuz yok. Belediyeyi arıyorum, adamlar her gün başka bir şey diyor. Bizim yaşadığımız yer aşağıda kalıyormuş, o yüzden bize su gelmiyormuş. Böyle terbiyesizlik, böyle saygısızlık görmedim. Verdikleri su zaten temiz değil ama o sudan bile ettiler bizi. Acilen bir çözüm üretilmesini istiyorum"
0,Adıyaman merkez imamağa mahallesinde sular gelmiyor beyaz masayı arıyoruz açan olmuyor temizlik işlerimizi için suyu bırakılsa iyi olur suyumuz yok. Gereğinin yapılmasını arz ederim.
0,Depremden dolayı mağdur olduk zaten bir de şu sıkıntısı çekmeyelim bu işlerin hızlandırılması lazım.
0,Adıyaman Kayaönü affet evler (Binevler) de depremden bu yana sular yok üç günde bir depoya su bırakılıyor 2 saatte bitiyor. Bazen beş günü buluyor su kesintisi. Ne kişisel temizlik ne içme suyu var.
0,Allah aşkına 4 ay geçti depremin üzerinden bu halk bu çileyi ne zamana kadar çekecek. Temel ihtiyaç su yahu su hiç mi çalışma yok bitlendik resmen. Adıyaman belediyesinin bu soruna çözüm bulmasını istiyoruz. Usta eleman ihtiyaç varsa gerekirse bizde yardım ederiz artık olmuyor olmuyor.
0,Depremin üzerinden bir buçuk ay geçti evimiz az hasarlı girilebilir durumda ancak şebeke suyu yok hamileyim multiple skleroz hastasıyım.
0,Üç aile bir evde kalmak zorundayız şu anda şebeke suyuna ihtiyacımız var sürekli şehrin %95'ine su verildiği söyleniyor ama benim evimde su yok çamaşır bulaşık duş hiçbir ihtiyacımızı gideremiyoruz. Mağduriyet yaşıyoruz herhangi bir şekilde enfeksiyon kapmam halinde hem benim hem de bebeğimin hayatı tehlikede konuyla ilgili bir an önce çözüm beklemekteyiz.
0,Sular gelmiyor. Mağdur olmuşuz. Lütfen bir şeyler yapın belediyeye ulaşılmıyor hiçbir şekilde.
0,cadde atış alanın alt tarafındaki arazimin içerisindeki arıtma tesisine giden kanalizasyon borusunu 2 haftadır tıkalı ve çıkan pis suyun tarlamın alt tarafını komple su alıp götürmektedir. Bu olayı ilgili birimlere söylememize rağmen 2 haftadır makineyi bahane edip durmaktadırlar. Bu olaya en kısa zamanda el atılmasını rica ediyorum
0,Müşteri hizmetlerini arıyoruz telefona cevap vermiyorlar su kesilmiş hiçbir şeklinde bir bilgilendirme yapılmamış.
0,Her gün su kesintisi yaşanır mı be kardeşim madem keseceksiniz önceden bilgi verin her gün her gün olmaz yeter bu nasıl bir belediyeciliktir.
0,Yaklaşık 3 aydır her gün su kesiliyor.
0,Adıyaman su kesintisi yeter artık nasıl bir belediyeliktir nasıl iştir bu hepimiz insanız ya susuz olur mu su faturasını kesmeyi biliyorsunuz vergi veriyoruz. Bunun karşılığında suyumuzu kesmeye hakkınız yok. Ya önceden haber verin. Kendimizi ayarlayalım bir açıklama dahi yok gelişin artık ya
0,Sular neden çamurlu akıyor her yağmur yağdığında çamurlu su içmek zorunda kalıyoruz şu işe bir çözüm bulun sular içilmeyecek durumda. 
